JA15,PA0
JA13,PA1
JA10,PA2
JA9,PA3
JA2,PA4
JA17,PA5
PA5,PA5
JB13,PA7
PA8,PA8
JUSB1,PA9
JUSB4,PA10
JUSB2,PA11
JUSB3,PA12
JC2,PA13
JC4,PA14
JC8,PA15

JB11,PB0
JB10,PB1
JB9,PB2
JC6,PB3
JC10,PB4
JC9,PB5
JB6,PB6
JB7,PB7
LED_GREEN,PB8
LED_YELLOW,PB9
PB10,PB10
JH,PB12
PB13,PB13
PB14,PB14
PB15,PB15

JA19,PC13

JB16,NRST
PH0,PH0
PH1,PH1
BOOT0,BOOT0

JA1,VSS
JA5,VSS
JA6,VSS
JA7,VSS
JA8,VSS
JA11,VSS
JA12,VSS
JA14,VSS
JA16,VSS
JA18,VSS
JA20,VSS
JA21,VSS
JA22,VSS

JB1,VSS
JB2,VSS
JB4,VSS
JB5,VSS
JB8,VDD
JB12,VSS
JB15,VSS
JB18,VSS
JB19,VSS
JB20,VSS
JB21,VSS
JB22,VSS
JC1,VDD
JC3,VSS
JC5,VSS
JD5,VSS
JD6,VSS
JUSB5,VSS
JUSB6,VSS
JE,VBAT
JF,VSS
JG,VSS
